video_id,channel,title,upload_date,description,view_count,duration,url
CzcuyKTZ1gc,쩜,[📚] 자기개발이 그 자기개발이라고? | 책추천 | 독서결산,2026-05-24,"00:00-01:46 방가
01:46-06:39 천년의...
06:39-09:36 이렇게 된...
09:36-12:34 자기개발의...
12:34-15:38 끝맛
15:38-17:01 빠이",40838,PT17M1S,https://youtu.be/CzcuyKTZ1gc
CQ-qXV_iE-k,댕은,여름엔 책이지 🍧 후루룩 읽는 가볍고 재밌는 짧은 책추천 4권,2026-05-25,"안녕 여러분! 다음에 추천 받고 싶은 책 추천 주제가 있다면! (ex. 최고로 재밌는 한국 소설. 대학생이 읽기 좋은 자기계발서) 남겨 주시오 댕독자들!!!  💌 

00:00 여름엔 에어컨 밑에서 독서지
00:46 이렇게 짧은 책인데 깊은 생각을 하게 하다니
04:56 왠지 안 유명한 책 읽고 싶은 날 있잖아요
03:35 2시간만에 소설 한 편 완독하고 싶은 사람
07:03 난 단편 읽다 보면 이런 책 읽고 싶더라

📧  email : springofyoo@gmail.com (책 선물•협찬은 받지 않습니다!)
🍋‍🟩 instagram : springofyoo https://www.instagram.com/springofyoo/
🎧 blog: https://blog.naver.com/springofyoo
🥣 스탠드포인트 : https://standpoint.kr (international shipping : https://standpointbooks.com/)",15358,PT11M37S,https://youtu.be/CQ-qXV_iE-k
SCcUBA6eqxQ,읽는 여자 | The Reading Woman,"""왜 이제야 읽었지?"" 최근 가장 재밌었던 한국소설 3권 추천",2026-06-09,"재미있는 한국소설을 찾겠다고 정말 많은 책을 뒤적였는데요... 그런데 생각보다 끝까지 읽고 싶은 책을 만나기가 쉽지 않더라고요....😌

그러다, 드디어 발견했습니다!
""아, 이건 소개해야 한다.""

독서 취향에 따라 호불호는 있을 수 있지만, 저는 도대체 ""왜 이제야 읽었지?""라는 생각이 들었던 작품들이었습니다.
오늘도 영상 시청해 주셔서 감사합니다 😊

📖 소개 도서
김유원 《미확인 홀》 
이서수 《헬프 미 시스터》
단요 《세계는 이렇게 바뀐다》


#책추천 #한국소설 #소설추천 #독서 #북튜브 #미확인홀 #헬프미시스터 #세계는이렇게바뀐다",3167,PT11M50S,https://youtu.be/SCcUBA6eqxQ
tBE27Ko0qxk,민음사TV,"""출판인 (도합) 15년이면 퇴근길에도 책을..."" 퇴근하는 직장인 붙잡고 요즘 읽는 책 털어 봤습니다｜래퍼와 공원, 먹고 기도하고 사랑하라, 운동하면 좋은 걸 누가 모르냐고요",2026-06-05,"퇴근 야호𖦹°‧★

00:00 오프닝
00:46 민음사 출판 그룹 브랜드 커뮤니케이션팀 김유경 사원
06:54 민음사 마케팅부 김민주 사원
10:33 세미콜론·반비·사이언스북스마케팅부 이호정 대리
15:17 세미콜론·반비·사이언스북스마케팅부 이지혜 대리

🔔구독, 좋아요, 알림설정 띄링띄링🔔

▶민음사 인스타 https://www.instagram.com/minumsa_books
▶민음사TV 인스타 https://www.instagram.com/minumsa_tv
▶민음사 홈페이지 http://minumsa.com/
▶민음사 트위터 https://twitter.com/minumsa_books
▶민음사 블로그 https://blog.naver.com/minumworld

#​민음사​ #민음사TV #퇴근길책추천",91329,PT21M49S,https://youtu.be/tBE27Ko0qxk
DYEXzaEAZb8,편집자K,6월엔 이 책! #대신골라드림,2026-05-31,"여러분, 한 주 잘 보내셨지요? 요 며칠 서울 밤하늘엔 달이 무척 환하고 밝습니다. 소원을 빌어야 할 것처럼 근사한 달인데요, 와... 하고 잠시 멈추어 감탄하는 것만으로도 어딘가 든든해져서 뭔가를 빌게 되진 않더라고요. 든든해지는 순간들 모아모아 또 새로운 한 주 편안히 여시길 바라겠습니다. 오늘도 찾아주셔서 고맙습니다:)

Timeline
00:00 오프닝
00:07 첫번째 책, [꽃 피는 시절] // [1938 타이완 여행기] (양솽쯔)
16:38 두번째 책, [백지 앞에서] (최은영)
25:55 세번째 책, [쇳돌](이라영) // [검은 사슴] (한강)

Music by FINKEL - Pendulum (Pink) - https://thmatc.co/?l=29290A46

#책추천 #소설추천",18671,PT39M23S,https://youtu.be/DYEXzaEAZb8
S6d6M18dGbI,공백의 책단장GongBaek's Book Dressup,"2026년 5월 독서 월말정산 🙆‍♀️💜 │ 총 14권, 스페셜픽 2권🏆",2026-06-04,"와 덥당 😇

00:00    5월 월말정산
00:09   트리플시리즈 8권
02:20   『사랑과 멸종을 바꿔 읽어 보십시오』 유선혜
04:54   『라셀라스』 새뮤얼 존슨
07:18   『인 메모리엄』 앨리스 윈
10:00   『카탈로니아 찬가』조지 오웰
12:50   『국가에 대항하는 사회』 피에르 클라스트르
14:58   『쾌적한 사회의 불쾌함』 구마시로 도루



🔎공백이 쓴 책
『당신을 읽느라 하루를 다 썼습니다』 상상출판, 2022
 『휴식의 말들』 유유, 2024

🙌 공백의 인스타
  / gongbaek_bookdressup  


#공백의책단장 #북튜버공백 
#독서월말정산 #독서정산",4987,PT18M38S,https://youtu.be/S6d6M18dGbI
-fyuFg9Qu1o,책과삶,"진심으로 헛소리하는 사람들 심리, '이 책' 읽으면 바로 이해 됩니다 ㅣ Ep. 사람산책 12 (김경일 교수 2부)",2026-06-18,"안녕하세요.""책과삶"" 입니다.

오늘은 김경일 교수님과 교보문고 방문했습니다. 사는게 힘들 때, 더 발전하고 싶을 때 김경일 교수님의 추천 도서 함께 읽어보시면 좋을 것 같습니다;) 
구독과 좋아요 꾸욱 눌러주시면 더욱 열심히 좋은 영상으로 보답하겠습니다.

📖 알프레드 아들러 저자님의 ‘우월한 열등감 (김경일 교수님 번역)
https://product.kyobobook.co.kr/detail/S000219725260

#책과삶 #사람산책 #김경일 #김재원 #교보문고 #책읽어드립니다 #책추천

00:00 오프닝
01:27 심리학자가 말하는 서점에 오면 우리 몸에 나타나는 신기한 변화
01:58 너무 우울해서 책도 못 읽겠다면 ‘이렇게’ 해보세요
02:31 첫 번째 책 - 우울한 마음도 습관입니다
06:53 두 번째 책 - 개소리에 대하여
11:30 세 번째 책 - 팩트풀니스
18:01 네 번째 책 - 생각에 관한 생각
22:48 다섯 번째 책 - 행복의 기원 


📗책과삶 블로그
https://blog.naver.com/booksnlife_
📗책과삶 멤버쉽 가입
https://www.youtube.com/channel/UCgUaqrLRGLL-dHislR1e2TA/join",95224,PT26M59S,https://youtu.be/-fyuFg9Qu1o
IpSKQAccpos,읽는 여자 | The Reading Woman,진짜 '주말 삭제' 당했습니다... 시계 보면서 미친듯이 읽은 흡입력 최고 고전 소설 3권,2026-06-18,"이번 영상은 제가 주말 동안 시간 가는 줄도 모르고, 
정말 미친 듯이 빠져서 읽은 책 3권을 소개 드리려고 합니다.

 ​적게는 80년, 길게는 100년 가까이 된 고전 소설들인데...
 와, 지금 읽어도 어쩜 이렇게 심장 쫄깃하고 재밌을까요?

 인간의 세밀한 심리 묘사부터 소름 돋는 반전, 
서늘한 스릴러까지 종합선물세트 같은 작품들만 모았습니다.

 ​이번 주말, 도파민 터지는 독서에 빠져보고 싶으시다면 이 영상에서 소개해 드린 3권 중 한 권을 꼭 픽해 보세요!📚✨

​📌 소개된 도서 리스트
슈테판 츠바이크 - 《체스 이야기》 (+ 낯선 여인의 편지)
아르투어 슈니츨러 - 《한밤의 도박》
대프니 듀 모리에 - 《레베카》


00:00 주말을 순삭시킨 역대급 고전 소설 3권 소개
00:30 [첫 번째 책] 슈테판 츠바이크 《체스 이야기》 & 《낯선 여인의 편지》
03:12 [두 번째 책] 아르투어 슈니츨러 《한밤의 도박》 (주식·코인 중독과 닮은 꼴?)
07:42 [세 번째 책] 대프니 듀 모리에 《레베카》 (80년간 절판 없는 고딕 스릴러 명작)
09:56 마무리

​#책추천 #소설추천 #고전소설 #체스이야기 #한밤의도박 #레베카 #북튜버 #인생책 #스릴러소설 #시간순삭 #독서로그",11731,PT10M20S,https://youtu.be/IpSKQAccpos
09J1BGdytD0,숲목일,그동안 책 리뷰 못 올린 이유,2024-12-28,"정말 괜찮은 책을 못 발견함 ... 대신 원기옥 모아옴..

0:00 intro
0:52 구의증명
1:58 물고기는 존재하지 않는다
3:32 모순
4:58 우리가 겨울을 지나온 방식
6:26 홍학의 자리
7:20 달러구트 꿈 백화점
8:28 사서함 110호의 우편물
9:22 콜미바이유어네임
10:44 목요일에는 코코아를
11:40 용의자 x의 헌신
12:40 우리가 빛의 속도로 갈 수 없다면
13:15 인간실격
14:27 데미안/수레바퀴아래서

#북튜버 #독서브이로그 #책추천 #독서 
𝚌𝚘𝚗𝚝𝚊𝚌𝚝. 𝚖𝚘𝚌𝚑𝚊𝚌𝚘𝚘𝚔𝚒𝚎𝟿𝟽@𝚐𝚖𝚊𝚒𝚕.𝚌𝚘𝚖",10452,PT17M5S,https://youtu.be/09J1BGdytD0
X9dJ5dHzc2I,지지프리,5월 독서결산📚 소설집을 사랑하는 그대에게 ➳♡゛,2026-06-21,"안녕하세요 여러분 :)
오늘은 5월 독서결산 하는 날~~!
5월에는 ⟢국내 작품⟣ 위주로
⟢소설집⟣ 위주로 읽어봤는데요 (*ˊᵕˋ*)ﾉ
어쩌다 보니 저의 취향인 책들만 읽게 되어서
독서결산이라고는 하지만
((사실상)) 책추천 영상이 되어버렸슴돠...~
부디 여러분의 취향에 맞는 책이 있기를! ( ◜ᴗ◝ )♡
특히나 ❮약속의 세대❯는 모두 한번씩 읽어봐주셨으면 하는 ...
그러면서 저를 떠올려주셨으면 하는 ...
그런 작은 기대를 제가 감히 가져봐도 될까요 (ᗒᗊᗕ)
((히히)) 아무튼 오늘도 찾아와주셔서 감사합니다ミ✭
곧 서울국제도서전 영상으로 만나요~
우리 늘 행복하기로–!

00:00 ☆안녕하세요☆
00:17 1️⃣ 백지 앞에서 (최은영)
02:39 2️⃣ 약속의 세대 (백온유)
05:12 3️⃣ 모우어 (천선란)⠀⠀⠀⠀⠀
08:43 4️⃣ 해파리 만개 (김초엽)
10:53 5️⃣ 저편에서 이리가 (윤강은)
12:15 6️⃣ 달걀의 온기 (김혜진)
15:18 ★감사합니다★

#책 #독서 #책추천 #독서결산 #5월 #한국문학 #sf소설 #단편소설 #산문  #소설",1128,PT16M5S,https://youtu.be/X9dJ5dHzc2I
