segment_id,video_id,seg_idx,seg_type,book_title,segment_text,verified
CzcuyKTZ1gc_s001,CzcuyKTZ1gc,1,intro,,"여러분, 저 어때요?
핸드폰을 새로 샀어요.
근데 무슨 폰을 샀느냐?
프로를 샀어요.
뭐 할라고?
촬영해 보려고.
폰을 가지고 다니는 크리에이터 친구들을 항상 너 뭐 박찬욱이야?
막 이랬는데 왜 샀는지 알겠어요.
사람들 화질은 좋아지는데 내 거만 그 15플러스에서 멈춰 있는 게 너무 열받아서 여러분들을 위해 투자를 해 봤어요.
조금 더 선명하게 저를 보는 거 어떤가요?
막 그렇게 막 좋은 거 같진 않아요.
내가 살면서 느낀 건데 딱히 그럴 필요는 없더라고요.
근데 그래도 화면이 깨끗하면 좋으니까 뭔지 알지?
여러분들이 정말로 기다리고 기다리고 기다렸던, 댓글이 정말 많이 달렸던 독서결산의 시작입니다.
그간 왜 이렇게 독서결산이 안 올라왔냐?
약함형 이야기 하느라 정신이 일나도 없었고요.
그리고 또 브이로그를 좀 찍어보고 싶더라고.
그래서 독서결산이 좀 미뤄졌는데, 미뤄진 만큼 오늘 정말 추천할 만한 책들만 제가 들고 왔어요.
추천할 만한 책 여러 권이랑 이게 당최 뭘까 싶은 책 있잖아요.
네, 여러분들 사실 이게 당최 뭘까 싶은 책들 되게 좋아하시잖아요.
오늘 영상 굉장히 재밌을 거라고 생각합니다.
여러분들도 즐겨주셨으면 좋겠네요.
으흠.
여러분 그리고 제가 여기서도 말씀드렸고 여기서도 말씀드렸다시피 제가 책을 네 살다 보니까 그렇게 되더라.
네, 어쩌다 보니까 그렇게 됐는데요.
어, 대비 일기도 꾸준히 숏폼으로 업로드할 예정이니 여러분들에게 많은 관심을 요청하는 바입니다.
잘 부탁드립니다.
3, 4월의 독서결산, 시작해 볼까요?
렛츠 고!",1
CzcuyKTZ1gc_s002,CzcuyKTZ1gc,2,book,천 년의 사랑,"자, 첫 번째 책으로는 천 년의 사랑입니다.
저는 그러니까 미리 말씀드리겠는데, 이런 사랑이 아니면 하고 싶지가 않네요.
이 책은 오인희 성화상 김진우 이 세 명의 인물로 진행이 되는 소설인데요.
자세한 줄거리는 제가 여기에서 말씀드렸으니 여기를 보고 오시면 좋겠습니다.
하지만 여기도 클릭하기 귀찮으신 분들도 좀 있겠죠?
아주 간략하게 설명을 해드리자면 오인희와 김진우는 커플이에요.
근데 성화상이 중간에 껴요.
끝.
아주 간단하게 한 거니까 이 영상으로 꼭 보시길 바랍니다.
그러니까 양귀자 선생님의 문학은 이게 문제야.
내가 정의하는 사랑의 기준을 너무 높게 만들어 버려요.
뭔 말아.
이 정도의 사랑이 아니면 그냥 이제 사랑으로 안 느껴지는 거야, 나는.
그럼 나는 어떻게 해야 될까?
나는 누구랑 사랑을 해야 되죠?
진짜 어떡하지?
이 책이 어떻고, 뭐 작가의 문체가 어떻고 이거는 이제 뭐 다를 만한 게 아니라고 생각해요.
제 채널에서 양귀자 선배님의 책을 정말 많이 다뤘고 제가 또 너무 좋아하는 거를 저를 꾸준히 봐오신 분들이라면 알테니까 그냥 제가 문장을 몇 개 읽어 드릴게요.
그냥 들어보세요.
느껴보세요.
아, 이 책은 이런 거구나.
제가 정말 좋아하는 게 있는데요.
여기서 성화상 씨가 오인희 씨에게 엄청난 순애 모먼트를 보여주세요.
이것은 어떤 이름을 가진 나무인가요?
그녀가 묻는다.
물푸레.
물푸레나무이지요.
물푸레 정말 아름다운 이름이네요.
그 이름은 바로 당신의 이름이기도 합니다.
왜 그렇지요?
이 나뭇가지 하나를 꺾어 물에 담그면 잉크빛 푸른 물로 변합니다.
그래서 물푸레나무이지요.
당신이 내 마음속에 들어오면 나는 그대로 푸르른 사람이 됩니다.
그래서 당신은 나의 물푸레나무입니다.
내가 저 00년생이거든요.
그리고 지금 2026년이잖아요.
제가 26년 내지 27년을 살면서 이런 말 한 번도 들어본 적이 없어요.
뭐 엄마 아빠는 해주셨겠죠.
근데 엄마 아빠 아닌 사람들한테 이런 이런 아 제가 정말 사랑하는 사람한테 물론 여러분도 사랑하는 사람이다만 제가 뭔 말하는지 알죠?
그런 사람에게 이런 말을 내가 들어볼 수 있을까?
내가 살면서 죽기 전까지?
게다가 이때는 DM, 카톡 이런 게 없잖아요.
그래서 이분들이 편지로 내용을 주고 받아요.
그래서 중간중간에 성화상의 편지 챕터가 따로 있단 말이죠.
네, 그 편지들을 읽을 때마다 와, 나는 진짜 이 이런 편지를 너무 저는 원래 편지를 좋아하는 편인데요.
요즘 친구들은 잘 편지를 안 쓰잖아요, 그렇죠?
더 효율적인 기술들이 있다 보니까 와, 이런 편지라면 정말 내 등짝에 문신으로 새겨도 되겠다.
뭐 이런 싶은 편지들이 나와요.
제가 또 몇 가지 읽어 드릴게요.
편지 2인데요.
전 이 편지 2 이 파트 전체가 너무너무 좋아요.
오인희 씨가 너무너무 부러워요.
다 읽어 드릴 수 없으니 마지막 문단만 읽어 드릴게요.
또 내 말이 길어질까 두렵습니다.
단지 바람의 향내만 전하겠다는 글이었습니다.
그대 잠시도 내 정신을 놓아주지 않는 그대의 아름다운 이름을 이 바람에 새깁니다.
부디 건강하길.
그러니까 저는 이 마지막에 건강하길이라는 이 네 글자가 너무나도 느껴져.
이 마음이 느껴져.
사실 사랑하는 사람한테 바라는 건 이것뿐이라고 생각해요.
뭐 네가 돈을 잘 벌었으면 좋겠어.
좀 더 예뻐졌으면 좋겠어.
네가 운동을 했으면 좋겠어.
이게 아니라 그냥 나는 네가 건강했으면 좋겠다는 거야.
난 네가 잘 잤으면 좋겠고 네가 맛있는 거 제 때에 네가 원하는 걸 맛있게 먹고 산책하고 싶을 때 하고 그게 나는 사랑이라고 생각하는데 여기서 성화상 씨가 이렇게 건강하길 박아버리니까 나는 이제 머리를 박게 되는 거지.
여기까지만 해도 읽어 여러분들께서 읽어 볼 이유가 충분하다고 생각합니다.
여기 인센스, 무수한 인센스 보이시죠?
그리고 인센스 붙 찾아서 붙일 정신도 없어서 그냥 냅다 까라 이렇게 적어 놓은 것들도 있거든요.
명 문장도 명 문장 이건이와 스토리 자체도 너무 재밌어요.
다음이 어떻게 될까?
이 다음에 그래서 뭐 성화상이 어떻게 한다는 건데?
김준우가 왜 이러는 데?
계속해서 궁금하게 만들어요.
그래서 얘가 페이지가 꽤 길거든요.
500페이지?
정도 되지만 저는 이걸 이틀 만에 읽었습니다.
제 주변에 읽은 사람들도 정말 단숨에 읽었다고들 하더라고요.
양귀자 작가님의 천 년의 사랑.
진심 진심 진심으로 추천드리고 세상 모든 연인들이 이거를 보고 모방했으면 좋겠어.
모방해.
그러니까 어머니잖아.
창조의 어머니잖아.
그냥 모방해.
편지 써줘.
사랑한단 말 더 해.
건강하길 바래.
이 정도의 사랑을 마음대로 하세요, 뭐.
각자 사랑의 방식은 다른 거니까요.
알아서 하시고.
다만 나의 미래 애인은 아니다.
너 네가 하고 싶은 거 해.
내가 어 내가 너라는 사람을 어떻게 바꾸겠니.
갑자기 쓸쓸해지는데요.",1
CzcuyKTZ1gc_s003,CzcuyKTZ1gc,3,book,이렇게 된 이상 포항으로 간다,"다음 책으로 넘어가 보겠습니다.
다음 책은 이렇게 된 이상 포항으로 간다 간다 슝 간다입니다.
슝 간다는 아니고요.
포항으로 간다입니다.
이거는 제가 가장 최근에 읽은 책이라서 정말 생생하게 후기를 전달해 드릴 수 있는데요.
딱 다 읽고 나면 어떤 느낌이 드느냐?
단편 영화 봤다의 느낌이 들어요.
한 20분짜리.
근데 늘리고 늘리면 38분까지 어떻게 될 거 같아.
그리고 여기게 정말 특이한 게 정보라 작가님과 최희택 작가님의 릴레이 장편 소설이라고 써 있어요.
여러분 저 네일 했어요.
그래서 이 두 작가가 어떻게 이야기를 던지고 받아서 이어나가느냐에 굉장히 집중하면서 읽을 수 있게 합니다.
A라는 사건의 끄트머리를 던져도 B의 시작으로 받는 그런 것들이 굉장히 흥미롭죠.
너무 신기하죠.
이렇게도 글을 쓸 수 있구나.
굉장히 신박했습니다.
근데 초반에 그렇게 와, 이렇게 재밌는 이야기를 어떻게 둘이서 하다가 힘이 확 떨어졌던 게 어디냐면 이건 책 읽으신 분들은 아시겠다만 스포는 아닙니다.
차를 타고 내리 달려요.
내리 달려요.
정말 내리 달려요.
근데 보시면 포항으로 간다라는 것도 있고 이게 차도 있어요.
그래서 속은 느낌은 아니었어요.
여기선 차가 굉장히 중요한 요소고 차라는 장소에서 벌어지는 일을 다루기 위해서 이걸 쓰신 거는 같다만 앞에서 뭐 시추공, 강연장, 행사 현장 이런 넓고 다양한 공간들이 와다다다 나오고 얘네가 어떤 일을 겪었는지 와다다다 나오면서 굉장히 어, 너무 재밌다.
이 답답한 경차, 답답한 고속도로 위에서의 이야기가 계속 이어지니까 거기서 제가 조금 그리고 제가 느꼈을 때 그 차 안에서의 그 전개를 딱히 없었던 거 같아요.
그리고 보라가 부름을 받는 순간이 와요.
뭐에서 부름을 받는지는 말 안 할게요.
부름을 받는다.
여기서부터 이야기가 막 팍 튀어요.
갑자기.
작가님 둘이 서로 미는 느낌을 받았어요.
저는.
물론 아니었겠죠.
어 이들의 그 역량을 제가 못 믿는 게 아니라 저는 그렇게 느꼈어요.
작가님이 이거 등장시키셨으니까 이거 마무리 다음 결말에 대해 이야기해 볼게.
분명 여기서 의미를 뽑으라면 뽑을 수 있어요.
굳이 굳이 차를 훔쳐서 어떠한 것을 보러 간 보라의 행동의 의미라던가 이런 것들에서 아 이래서 이랬구나.
이건 어떤 걸 상징하는구나.
근데 뽑을 만 하게 느껴지진 않아.
왜냐?
약간 억지로 의미를 부여해야만 가치가 생기는 이야기 같다라는 느낌이 와, 너무 조심스러운데요, 지금.
독자로서 말하는 거예요.
그런 느낌을 저는 받았다.
저 문학 전공 아니고요.
문학 평론가 아니고요.
독자 1입니다.
내가 지금 줄거리에 대해서 그렇게 막 좋다 얘기는 없었잖아요.
그래서 이 책에 읽을 가치가 없느냐?
또 그건 아니에요.
왜냐면 이 릴레이 소설이라는 이 자체가 너무 재밌기 때문에.
또 누가 해보면 좋을까 생각을 했을 때 저는 조혜영 작가님이랑 청해 작가님이랑 뭔가를 해보면 어떨까요?
진짜 미치게 재밌는 스릴러 오컬트 이거 하나 싹 말아 주셨으면 나 정말 좋겠다.
나 그럼 소원이 없을 것 같아.
피칠갑, 절, 굿 약간 사바 느낌으로.
뭔 말인지 알죠?
이거 될 거 같은데?
어디 출판사에서 가져갈 사람?
연락 주세요.",1
CzcuyKTZ1gc_s004,CzcuyKTZ1gc,4,book,자기개발의 정석,"다음으로는 자기 계발의 정석이라는 책입니다.
민음사 북클럽에서 골랐습니다.
네 제가 골랐어요.
왜요?
악명이라고 할까요?
어 악명은 좀 그러니까 명성이 굉장히 자자한데 도서관에는 많이 없더라고.
그렇다고 내 돈으로 사기도 겁이 나더라고 약간.
아 왜 제 손에 없냐?
친구 빌려줬어요.
너도 한번 읽어봐라.
너도 한번 느껴봐라.
이 당혹스러움을.
줄거리 간단하게 말씀드리자면 중년의 남자가 전립선 자위에 중독되어.
정말 폭력적인 단어들의 향연이죠.
근데 너무 힘들었던 게 이왕 이렇게 이상한 거 읽을 거면은 잘생긴 중년의 이야기를 저는 읽고 싶은데 이왕 읽을 거면 그 묘사할 때 뭐 배 나온, 머리 벗겨진 이런 식으로 돼 있어서 그냥 눈을 꽉 감았어요.
이렇게.
이렇게 꽉 감은 거야.
안 읽은 셈 치려고.
그 묘사를.
그리고 가상 캐스팅을 엄청나게 돌렸죠.
이 이야기의 주인공 누구로 할까?
누구 배우의 얼굴을 내가 또 명예 훼손을 시켜 볼까?
해서 정해서 읽기는 했어요.
그랬더니 훨씬 낫더라고.
근데 누구를 정했는지 말하면 그 배우와 그 배우의 팬분들이 되게 안 좋아하시지 않을까 싶어서 입을 다물도록 하겠습니다.
상상은 여러분의 자유입니다.
자, 여기서 자기 계발의 정석 스포 들어갑니다.
스포를 원하지 않으시는 분들은 여기로 옮겨주세요.
5 4 3 2 1 시작.
해피타임을 보내고 있던 와중에 와이프랑 딸이 들어와서 그걸 봐 버려요.
이게 결말이에요.
저는 진짜 그 문장을 읽자마자 숏폼에서도 다뤘지만 아 어떡해?
어떡해라는 말밖에 나오지 않았어요.
왜냐 사실 전립선 자위라는 거 뭐 막 나쁜 일은 아니에요.
할 수 있어요.
자기 몸을 가지고 자기가 자기의 쾌락을 찾아서 떠나겠다는데 뭐 누구한테 피해를 줍니까?
와이프랑 딸이면은 내 일도 아닌데 우와 진짜 어떡하지라는 생각밖에 안 들더라고.
이 정도의 공감을 갈 수 있게 만들 정도로 소설의 몰입감이 굉장합니다.
그 중독되어 가는 내용 안에서 또 이게 사건 사건이 껴들어 있어요.
근데 그 사건 사건도 굉장히 재밌고요.
그래요.
뭐 결론을 말하자면 재밌는 있었어요.
의문인 건 이걸 어 왜 썼을까?
싶을 거지.
이 소설에도 문학 해설표가 따로 있을까?
해설할 게 따로 있을까?
해석할 게 따로 있을까?
근데 이게 부정적으로 야, 이건 가치가 없어.
모르겠어.
이게 아니라 정말 근본적으로 궁금해요.
저는 진짜로.
전 작가님과의 만남을 한번 해보고 싶어요.
인터뷰를 해보고 싶거든요.
민음사 연락 주세요.
인터뷰 한번 잡을까요?
그래서 이 책 추천하느냐, 안 추천하느냐?
진짜 존나 추천합니다.
왜냐면 존나 재밌거든요.
왜 그런 것들 있잖아요.
막 알베르 카미, 헤르만 헤세, 뭐 버지니아 울프 이런 책들 읽으면서 머릿속을 꽉꽉 채워 나가는 그런 류의 독서의 재미도 있다만 이런 것들로 그냥 생각이라는 걸 하지 않게 도와주는 책들도 저는 너무 가치가 있다고 생각하거든요.
그런 의미에서 자기 계발 정석은 정말 가치가 있는 책이에요.",1
CzcuyKTZ1gc_s005,CzcuyKTZ1gc,5,book,끝맛,"자, 지금부터 제가 여러분들한테 어떤 상황을 부여해 드릴 건데 몰입을 한번 해보세요.
여러분들은 갑자기 혀에서 어떤 맛이 느껴지는 능력이 있습니다.
근데 되게 상세하게 느껴져요.
그냥 단순히 어, 마라탕 맛이 갑자기 나네?
이게 아니라 어, 이거 텅곽쿵푸에 고기 추가 두 번하고 수수, 팽이버섯, 유부, 펜더 문무자, 마요 조금에 땅콩 소스 반.
진짜 이 수준으로 느껴져요.
근데 이게 능력이라고는 딱히 할 수 없어요.
왜냐면 이걸로 뭐 할 수 있는 거 없거든.
그냥 나는 여기에서 맛이 느껴지는 사람이야.
그래서 여러분은 어렸을 때 어머니한테 이제 가서 말씀드렸습니다.
엄마, 저 혀에서 이런 맛이 나요.
여러분 어떻게 돼요?
정신병원 가죠?
환각, 환청, 환 미.
환미라는 단어가 있나요, 근데?
그래서 여러분들은 그 사실을 숨기고 살았어요.
왜냐?
엄마가 너무 걱정하니까.
그리고 사실 내가 이걸로 뭐 할 수 있는 것도 없으니까.
그렇게 요리랑 각밖에 지내던 여러분들이 빠이 츠객을 했습니다.
한 츠객이 찾아왔었죠.
근데 내가 그 사람을 보는 순간 어떤 맛이 너무 강렬하게 너무 강렬하게 맴도는 거예요.
그래서 이 츠객 또 잠잠하게 좀 하고 어차피 할 것도 없는 김에 그 요리를 그대로 구현을 해서 만들어서 그 사람한테 줬어요.
근데 이런 미친 그 맛의 주인공인 유령이 나타난 거예요.
그래서 여러분들은 깨달았습니다.
아, 내 혀에서 느껴지는 이 맛을 재연해 내면 이 추억의 맛의 주인인 유령을 볼 수가 있구나.
된다.
를 깨닫게 되면서 이어지는 이야기입니다.
진짜 재밌죠.
소재 자체가 굉장히 신선합니다.
그리고 원래 요리 주제 소설이 저는 그래요.
되게 재밌어요.
난생 처음 들어보는 식재료들도 뭐 한번 기웃기웃 볼 수도 있고.
아 이건 어떻게 생긴 어떤 맛이 나는 요리일까?
이런 거를 다양하게 상상을 하면서 읽는 재미도 있고.
안 그래도 재밌는 요리 소설에 내가 너무 좋아하는 오컬트 모먼트가 살짝 들어갔다?
만찬 시작이죠.
이것도 잼예 소설로 추천드려요.
오늘을 하게 되고 막 깁생을 하게 되고 이건 아니야.
그렇다고 막 뇌를 날려버릴 자기 계발의 정석 같은 그런 소설이냐?
또 그런 아니야.
어, 내가 생각할 수 있는 거리를 몇 개 던져 주긴 하거든요.
시간에 관한 거라던가, 추억, 트라우마, 과거 이런 것들을 좀 너무 딥하지 않는 선에서 다루니까 이걸 읽으면서도 아, 문학 작품.
이거는 문학 작품이다는 확실히 느껴져요.
기승전결 굉장히 깔끔하고요.
그리고 요리 소설 특, 자꾸 그 요리를 어 되게 굳이 싶은 것들도 있거든요.
알잖아요, 여러분.
아시죠?
여성 셰프의 같은 경우에는 갑자기 막 가지, 막 파, 오이 이런 거에 갑자기 막 별미척하고 막 띡 이러면서 갑자기 막 진짜 안 궁금한 얘기 갑자기 막 하고.
남성 셰프의 같은 경우에는 막 막 그녀를 막 요리야.
종이로 된 막 그녀의 뭐에 비유해 가지고 막 이 이 릴스 알죠?
이 미친 새끼 릴스.
약간 이거 보는 느낌이 드는 소설들도 있단 말이에요.
근데 여기는 그런 게 없어.
깔끔해, 담백해, 보기 좋아.
넷플릭스 6부작 보는 느낌?
그래서 이 끝맛 너무 추천해요.
너무 재밌어요.
이거 약간 지하철 이동하면서 읽기에 참 좋다.
왜냐면 너무 집중해서 막 딱 이렇게 읽어야 되는 것도 아니고 등장인물들이 많지 않아서 엄청난 집중력을 요하는 거는 아니지만 시간을 후딱후딱 보내게 할 수 있는 그런 재밌는 책이다라고 말씀드리고 싶습니다.",1
CzcuyKTZ1gc_s006,CzcuyKTZ1gc,6,outro,,"여러분 오늘 이렇게 3, 4월의 독서 결산을 마쳐 보았는데요.
사실 더 많은데 여기서 다 털고 가면 또 다음 달에 제가 할 게 없을까 봐.
여러분들은 요즘 뭐하고 지내시나요?
저는 이제 책 원고를 수정하고 마무리하고 표지 디자인 같은 거 보고 프로필도 찍고 이렇게 살고 있는데요.
이번 주 같은 경우에는 서울을 연속으로 네 번 가야 되더라고.
막 정분신녀 되는 거야.
근데 뭐 어쩌겠나요?
제가 선택한 거고.
지금 아니면 또 제가 언제 이렇게 바쁘게 불려다니면서 쓸모를 다할 수 있을까요?
라는 생각으로 저를 불사르고 있어요.
여러분 다음 주에 만나는 그날까지 우리 또 건강하게 제발 건강하길.
물 많이 마시시고.
영양제 챙겨 드시고.
운동 할 수 있으면 합시다.
밥 먹고 산책이라도 한 바퀴 도는 거야.
그것도 싫으면은 그냥 스쿼트 한 50번이나 한 번 해보는 거지.
그것도 싫으면 뭐 좋은 책 많이 읽으시고 좋은 음악 많이 들으시고.
저는 요즘 이 노래에 빠졌어요.
이 노래 추천드리겠습니다.
불쾌하게 아름다운 영화 많이 보시고.
오늘 영상 재밌게 보셨다면 좋아요와 구독과 댓글 달아주시면 너무 감사드리겠고요.
또 책에 대한 추가적인 궁금증이나 감상평이 있으신 분들은 댓글로 편하게 달아주십시오.
댓글은 여러분들의 장입니다.
그럼 여러분 다음 주에 뵙겠습니다.
안녕.",1
CQ-qXV_iE-k_s001,CQ-qXV_iE-k,1,intro,,"파리도 여름이었습니다.
드디어.
지난주까지만 해도 막 비 엄청 오고 경량 패딩 입고 돌아다니고 이래야 됐거든요.
근데 지금은 거리 나가기만 해도 막 땀이 날 정도로 여름이 갑자기 와 버렸어요.
여름에 읽기 좋은 좀 가벼운 책들로 4권 추천을 드리려고 합니다.
이제 한국에서 읽고 왔던 것들도 있고 아니면 파리 와서 읽었던 책들도 있는데 사실 여름에 막 할 것도 많고 막 근데 막 덥고 이러면 책까지 너무 어려우면 저는 좀 스트레스 받게 되고 잘 안 읽게 되더라고요.
그래서 오늘 준비한 책은 좀 가볍고 짧고 정말 재밌는 그런 책들로 4권 골라왔습니다.",1
CQ-qXV_iE-k_s002,CQ-qXV_iE-k,2,book,야간 비행,"일단 첫 번째 책은 아마 이 책들 오늘 추천해 줄 책 중에서 제일 짧은 책이지 않을까 합니다.
바로 생텍쥐페리의 야간 비행이라는 책입니다.
밀리에서 제 앱으로 읽었는데 생텍쥐페리가 원래 진짜 그 비행사였다는 거 알고 계셨나요?
저는 이제 이번에 파리에 이사 오면서 비행기에서 이 책을 읽었거든요.
비행기에서 읽은 게 좀 좋은 선택은 아니었던 것 같아요.
그렇지만 저는 원래 그냥 소설가라고만 생각했고 잘 몰랐는데 생텍쥐페리 제일 유명한 어린 왕자 책에도 우주비행을 하다가 불시착해 가지고 일어나는 이야기들이잖아요.
비행사로 일을 하면서 글도 썼다고 합니다.
근데 우리가 생각하는 그런 어린 왕자의 분위기랑은 좀 많이 다른 단편소설이에요.
짧아서 저는 한 3-40분 만에 다 읽었는데 차분하면서 음 사람에 대해 생각하게 된다 해야 되나?
우리가 이렇게 일상생활 하면서 다양한 사람을 성격도, 사고방식도 다양한 사람들이 만나잖아요.
근데 그 사람들이 모여서 이렇게 사회에서 각자 역할을 맡아서 일을 하면서 살아가는 건데 알고 보면 사람들은 다 너무 다르고, 그런데 그런 사람들이 모여서 하나의 일을 해 나가는 거에 대한 깊은 생각을 하게 하는 책입니다.
제가 되게 기억에 남았던 거는 이 책에 후반부에 묘사로 이렇게 이루어지는 그런 부분이 있거든요.
근데 그 부분이 진짜 몰입이 돼서 아마 이걸 읽으시면 자기도 모르게 이렇게 페이지가 넘어갈 거예요.
사람들의 의지와 사고방식이 만들어내는 실제 생활에서의 결과 같은 게 어떻게 되는지.
이렇게 들으니까 되게 재미없을 거 같은데 막상 읽으면 막 정신없이 책에 빠져들었다가 딱 마지막 장 덮고 나서 어, 약간 어, 이렇게 생각하게 되는.
고요하고 바람 불어오는 그런 여름에 하루에 읽으면 되게 기억에 남을 하루가 될 것 같아요.
저는.",1
CQ-qXV_iE-k_s003,CQ-qXV_iE-k,3,book,아무튼 여름,"그리고 두 번째 책은 김신회 작가님의 아무튼 여름이라는 책입니다.
저는 작년 여름에서 가을 넘어가는 때쯤에 이 책을 읽었거든요.
그래서 추천도 몇 번 드렸었는데 저는 사실 그 아무튼 시리즈를 잘 안 읽어 봤으면서도 좀 재미없을 것 같다는 그런 이상한 편견이 좀 있었던 것 같아요.
막 감성 에세이일 것 같고 막.
제가 우연히 남해에서 남해에 부모님이랑 여행 갔다가 읽게 된 책인데 첫 파트만 읽고 읽을지 말지 결정하자 이렇게 생각하고 읽었는데 진짜 제가 절반을 다 읽었더라고요.
진짜 담백하고 에세이인데요.
여름에 어떤 일상을 보내는지 그리고 여름만이 줄 수 있는 그런 에너지.
그리고 활기, 그리고 여름을 사랑하는 이유, 재치 있는 글들이 많아요.
이 작가님 글을 읽으면서 어 나도 사람들이 내 글을 읽었을 때 일상 속에서 더 즐거워지고 더 재미와 그런 소소한 행복을 발견할 수 있었으면 좋겠다 라고 생각이 들 정도로 그 작가님의 단어를 제가 뺏어 오고 싶을 정도로 너무 재밌게 읽었던 책입니다.
제 생각엔 오히려 막 책에 있는 홍보 띠지라든지 카피가 진짜 이 책의 정수를 못 보여주는 경우가 많은 것 같아요.
제가 생각하기에 열매로 치면 정말 막 엄청 다른 열매보다 예쁘진 않지만 열고 이거 열매를 먹어봤을 때 진짜 달고 맛있는 그런 과일을 먹은 기분이었어요.
꼭 여름을 안 좋아하시더라도 아니면 여름에 대한 호불호가 크게 없으시셔도 이 책을 읽으면 진짜 이미 한 계절을 다 보낸 것 같은 그런 기분이 들 정도로 좋은 책입니다.
제가 알기로는 이 책도 밀리의 서재에 있습니다.
어딜 가든 편하게 읽어 보셨으면.
제 생각엔 여름휴가 여행 갈 때 읽으면 좋을 것 같아요.",1
CQ-qXV_iE-k_s004,CQ-qXV_iE-k,4,book,빵가게 재습격,"그리고 세 번째는 무라카미 하루키의 빵가게 재습격이라는 책입니다.
하루키 책을 많이 읽은 건 아니지만 제치 있고 호기심이 생기게 계속 글을 쓰는 것 같아서 한번 읽으면 좀 재밌게 읽는 편입니다.
이번 책은 왠지 막 엄청 유명한 하루키 책들보다 단편으로 된 더 이 사람이 자기가 진짜 재밌게 생각해서 썼을법한 그런 책을 읽고 싶어서 고른 책인데요.
일단 제목만 해도 저는 되게 궁금하게 만든다고 생각해요.
그냥 빵가게 습격 사건 이런 것도 아니고 재습격이라니까 그럼 일단 한 번 해봤다는 거잖아요.
그럼 왜 빵가게를 습격했을까?
왜 두 번이나 했을까?
이 책은 이제 하루키의 초기 작품들을 모은 책이에요.
단편들이 이렇게 쭉 있는데 소재가 비슷한 것도 있고 이어지는 단편도 있고 아예 다른 단편도 있고.
골라가면서 읽을 수 있거든요.
골라 읽는 것보다는 처음부터 읽는 게 더 좋긴 하지만 그래서 이제 여름에 막 스트레스 받거나 아 좀 진짜 재밌는 거 너무 장편 소설은 싫고 이제 짧게 짧게 재밌게 책을 읽고 싶다 하시면 이 책을 추천합니다.
제목이 빵가게 재습격인데 이게 막 비유적인 표현일 수도 있고 이러잖아요.
근데 그게 아니라 진짜로 빵가게를 습격해요.
그 단편에서.
매력적인 글들인데 묘하고 분위기가 되게 우리 여름에 꿈꿨다가 일어난 것 같은 진짜 꿈꾼 꿈꾸다 일어났는데 막 아직 밤이고 세상에 나만 깨어 있게 된 것 같고 그런 기분 있잖아요.
하루키 책을 읽으면 그런 기분이 듭니다.
전 여름에는 맨날 막 엄청 생산적으로 하루를 보내는 것도 물론 좋지만 어떨 때는 아무것도 안 하고 그냥 시원한데 앉아가지고 수박 먹고 막 그냥 사람들 지나가는 거 보고 이렇게 하고 싶은 때가 있더라고요.
근데 이 책이랑 막 아아랑 시원한 에어컨 바람 아래에 앉아서 읽으면 너무 좋을 것 같아요.",1
