rank,token,pos,core_score,tfidf_avg_seen,total_count,doc_freq,doc_freq_ratio
1,책,NNG,6.8881993109169235,6.99582742515,441,64,0.9846153846153847
2,읽다,VV,5.216499770233846,5.468911049438709,324,62,0.9538461538461539
3,작가,NNG,4.0524041813169225,7.525893479588571,164,35,0.5384615384615384
4,소설,NNG,2.884038457929231,4.686562494135,127,40,0.6153846153846154
5,좋다,VA,2.740837687095385,3.8729228187217393,133,46,0.7076923076923077
6,재밌다,VA,2.2561614999615385,3.5768414023780486,101,41,0.6307692307692307
7,쓰다,VV,2.0103605145384615,5.025901286346154,69,26,0.4
8,행복,NNG,1.998740526252308,14.435348245155556,45,9,0.13846153846153847
9,여성,NNG,1.9139773540584617,17.772646859114285,40,7,0.1076923076923077
10,작품,NNG,1.8220959226107691,7.895748997979999,49,15,0.23076923076923078
11,살다,VV,1.8151119497923078,5.899113836825,55,20,0.3076923076923077
12,마음,NNG,1.7532605236307695,4.5584773614400005,59,25,0.38461538461538464
13,사랑,NNG,1.72138532142,5.888949783805263,51,19,0.2923076923076923
14,글,NNG,1.6234637054584615,5.8625078252666665,47,18,0.27692307692307694
15,느끼다,VV,1.5766231337292311,4.270020987183334,52,24,0.36923076923076925
16,돈,NNG,1.5462052444953847,10.05033408922,36,10,0.15384615384615385
17,느낌,NNG,1.5169185423507692,4.481804784218181,48,22,0.3384615384615385
18,좋아하다,VV,1.4553444311400001,3.9415578343375,48,24,0.36923076923076925
19,인간,NNG,1.4130539808015385,6.123233916806667,38,15,0.23076923076923078
20,시작,NNG,1.2957012549246154,3.8282082531863635,41,22,0.3384615384615385
21,정도,NNG,1.2957012549246154,3.8282082531863635,41,22,0.3384615384615385
22,문장,NNG,1.2483452733384615,7.376585706090908,30,11,0.16923076923076924
23,단편,NNG,1.1651222551153846,6.884813325681818,28,11,0.16923076923076924
24,교수,NNG,1.1477865482784615,12.434354273016666,23,6,0.09230769230769231
25,내용,NNG,1.1141174280123078,3.148592731339131,36,23,0.35384615384615387
26,인물,NNG,1.0783833011384618,4.672994304933334,29,15,0.23076923076923078
27,안,NNG,1.070795209986154,3.8667604805055555,31,18,0.27692307692307694
28,운동,NNG,1.0699649493400003,34.773860853550005,17,2,0.03076923076923077
