video_id,channel,title,upload_date,description,view_count,duration,url
CzcuyKTZ1gc,쩜,[📚] 자기개발이 그 자기개발이라고? | 책추천 | 독서결산,2026-05-24,"00:00-01:46 방가
01:46-06:39 천년의...
06:39-09:36 이렇게 된...
09:36-12:34 자기개발의...
12:34-15:38 끝맛
15:38-17:01 빠이",40838,PT17M1S,https://youtu.be/CzcuyKTZ1gc
CQ-qXV_iE-k,댕은,여름엔 책이지 🍧 후루룩 읽는 가볍고 재밌는 짧은 책추천 4권,2026-05-25,"안녕 여러분! 다음에 추천 받고 싶은 책 추천 주제가 있다면! (ex. 최고로 재밌는 한국 소설. 대학생이 읽기 좋은 자기계발서) 남겨 주시오 댕독자들!!!  💌 

00:00 여름엔 에어컨 밑에서 독서지
00:46 이렇게 짧은 책인데 깊은 생각을 하게 하다니
04:56 왠지 안 유명한 책 읽고 싶은 날 있잖아요
03:35 2시간만에 소설 한 편 완독하고 싶은 사람
07:03 난 단편 읽다 보면 이런 책 읽고 싶더라

📧  email : springofyoo@gmail.com (책 선물•협찬은 받지 않습니다!)
🍋‍🟩 instagram : springofyoo https://www.instagram.com/springofyoo/
🎧 blog: https://blog.naver.com/springofyoo
🥣 스탠드포인트 : https://standpoint.kr (international shipping : https://standpointbooks.com/)",15358,PT11M37S,https://youtu.be/CQ-qXV_iE-k
SCcUBA6eqxQ,읽는 여자 | The Reading Woman,"""왜 이제야 읽었지?"" 최근 가장 재밌었던 한국소설 3권 추천",2026-06-09,"재미있는 한국소설을 찾겠다고 정말 많은 책을 뒤적였는데요... 그런데 생각보다 끝까지 읽고 싶은 책을 만나기가 쉽지 않더라고요....😌

그러다, 드디어 발견했습니다!
""아, 이건 소개해야 한다.""

독서 취향에 따라 호불호는 있을 수 있지만, 저는 도대체 ""왜 이제야 읽었지?""라는 생각이 들었던 작품들이었습니다.
오늘도 영상 시청해 주셔서 감사합니다 😊

📖 소개 도서
김유원 《미확인 홀》 
이서수 《헬프 미 시스터》
단요 《세계는 이렇게 바뀐다》


#책추천 #한국소설 #소설추천 #독서 #북튜브 #미확인홀 #헬프미시스터 #세계는이렇게바뀐다",3167,PT11M50S,https://youtu.be/SCcUBA6eqxQ
RbSHuq_cA6U,아키노트,소설 책태기 심하게 왔다가…😵 결국 소설로 돌아왔습니다📚,2026-06-04,"혹싀 'Damage'책 산 사람 있엉!?
나 거의 다 읽어감...✌🏻#damage 

🍊more about Akii
💬 Insta: https://www.instagram.com/akiinote/
💬 Blog: https://blog.naver.com/akiinote
💬 Cafe: https://cafe.naver.com/akiinote
💬 Music:  @akiimusik ​

#소설 #고전소설 #자극적인소설 #책태기 #예쁜책",1395,PT11M23S,https://youtu.be/RbSHuq_cA6U
tBE27Ko0qxk,민음사TV,"""출판인 (도합) 15년이면 퇴근길에도 책을..."" 퇴근하는 직장인 붙잡고 요즘 읽는 책 털어 봤습니다｜래퍼와 공원, 먹고 기도하고 사랑하라, 운동하면 좋은 걸 누가 모르냐고요",2026-06-05,"퇴근 야호𖦹°‧★

00:00 오프닝
00:46 민음사 출판 그룹 브랜드 커뮤니케이션팀 김유경 사원
06:54 민음사 마케팅부 김민주 사원
10:33 세미콜론·반비·사이언스북스마케팅부 이호정 대리
15:17 세미콜론·반비·사이언스북스마케팅부 이지혜 대리

🔔구독, 좋아요, 알림설정 띄링띄링🔔

▶민음사 인스타 https://www.instagram.com/minumsa_books
▶민음사TV 인스타 https://www.instagram.com/minumsa_tv
▶민음사 홈페이지 http://minumsa.com/
▶민음사 트위터 https://twitter.com/minumsa_books
▶민음사 블로그 https://blog.naver.com/minumworld

#​민음사​ #민음사TV #퇴근길책추천",91329,PT21M49S,https://youtu.be/tBE27Ko0qxk
WLQcBnsZkJw,[하말넘많] heavytalker,"그 책.. 재밌나요?  | 「연매장」, 「괴테는 모든 것을 말했다」 리뷰 *스포있음",2026-06-05,"💙 미공개&비공개 영상이 가득한 하말넘많 멤버십 ⬇⬇⬇
https://youtube.com/c/하말넘많heavytalker/join",249006,PT1H2M43S,https://youtu.be/WLQcBnsZkJw
DYEXzaEAZb8,편집자K,6월엔 이 책! #대신골라드림,2026-05-31,"여러분, 한 주 잘 보내셨지요? 요 며칠 서울 밤하늘엔 달이 무척 환하고 밝습니다. 소원을 빌어야 할 것처럼 근사한 달인데요, 와... 하고 잠시 멈추어 감탄하는 것만으로도 어딘가 든든해져서 뭔가를 빌게 되진 않더라고요. 든든해지는 순간들 모아모아 또 새로운 한 주 편안히 여시길 바라겠습니다. 오늘도 찾아주셔서 고맙습니다:)

Timeline
00:00 오프닝
00:07 첫번째 책, [꽃 피는 시절] // [1938 타이완 여행기] (양솽쯔)
16:38 두번째 책, [백지 앞에서] (최은영)
25:55 세번째 책, [쇳돌](이라영) // [검은 사슴] (한강)

Music by FINKEL - Pendulum (Pink) - https://thmatc.co/?l=29290A46

#책추천 #소설추천",18671,PT39M23S,https://youtu.be/DYEXzaEAZb8
zyePCPyWVf0,시현,일단 책 언박싱 진행 시켜보겠습니다,2026-05-15,"#독서 #책언박싱 #책쇼핑 #책하울 #소설


00:00 인사
01:32 민음사 북클럽 책
05:56 들녘출판사에서 선물 받은 책
07:50 교보 북펀딩 한 책
10:12 교보에서 산 책
14:15 마무리",4182,PT14M52S,https://youtu.be/zyePCPyWVf0
D10lQXQ3Tr8,데이지헐,도파민 책들을 읽으면 기분이 좋아요🤤 (회복의 독서시간),2026-05-26,"도파민 도서관을 연 날, 그리고 그다음 날의 기록을 담아보았습니다. 그리고 13계단은 하루에 딱 30분씩만 읽어서 여전히 읽는 중이에요. (스포금지...하하) 도파민 팡팡 터지는 즐거운 시간 함께해 주신 구독자분들께 감사의 인사를 전합니다.  곧 또 만나요❤️


⏳
00:00 도파민 도서관
10:29 멋진 신세계와 햄스터
11:15 워들
12:25 다음 날
16:36 낮잠 
17:47 또 만나요 

읽은 책들 : 
저편에서 이리가 - 윤강은 
한 치 앞의 어둠 - 사와무라 이치
적산가옥의 유령 - 조예은 (제가 골라서 받은 책선물) 
13계단 - 다카노 가즈아키 (밀리) 

깨끗하게 읽은 책 선물 (1명) 
한 치 앞의 어둠, 적산가옥의 유령 
눈웃음 남겨주세요! 6월 2일(화) 발표 

도서관에서 들은 플리 : 
https://www.youtube.com/watch?v=j3UOTMsiYf0&t=1897s
https://www.youtube.com/watch?v=5b_t4qmEl30

워들 게임 : 
지메일로 로그인하시면 게임 기록이 계정에 쌓여요!
https://www.nytimes.com/games/wordle/index.html

__________________________

데이지의 사유사 원목 북레스트
https://sayoosa.com/23

인스타그램 daisyhur

치토스북클럽 (맴버십 가입) 
https://www.youtube.com/channel/UCTCMSoMjPPtfR4Tnk6iG-zA/join",8275,PT19M41S,https://youtu.be/D10lQXQ3Tr8
S6d6M18dGbI,공백의 책단장GongBaek's Book Dressup,"2026년 5월 독서 월말정산 🙆‍♀️💜 │ 총 14권, 스페셜픽 2권🏆",2026-06-04,"와 덥당 😇

00:00    5월 월말정산
00:09   트리플시리즈 8권
02:20   『사랑과 멸종을 바꿔 읽어 보십시오』 유선혜
04:54   『라셀라스』 새뮤얼 존슨
07:18   『인 메모리엄』 앨리스 윈
10:00   『카탈로니아 찬가』조지 오웰
12:50   『국가에 대항하는 사회』 피에르 클라스트르
14:58   『쾌적한 사회의 불쾌함』 구마시로 도루



🔎공백이 쓴 책
『당신을 읽느라 하루를 다 썼습니다』 상상출판, 2022
 『휴식의 말들』 유유, 2024

🙌 공백의 인스타
  / gongbaek_bookdressup  


#공백의책단장 #북튜버공백 
#독서월말정산 #독서정산",4987,PT18M38S,https://youtu.be/S6d6M18dGbI
